Model,Featurizer,Transformation,Training_dataset,Mode,AUC_avg,AUC_std,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5,Repeat_6,Repeat_7,Repeat_8,Repeat_9,Repeat_10
LinearSVC,concat_w,original,all_in_one,LOEO,0.622156403222671,0.05642021874709461,0.6702621120158974,0.66694116249433,0.7115768840313627,0.6089082445946823,0.5725127978054734,0.6812725446573213,0.5897169363025682,0.5608489750955785,0.5298804458172236,0.6296439294122729
GaussianNB,concat_w,standardization,all_in_one,Standard,0.677056288744411,0.013929120892947412,0.6830788172019786,0.6616627427263105,0.6826036244249089,0.6665928677884096,0.6814048426463918,0.6874203512106616,0.687058556709938,0.6794824718664275,0.6952448322785493,0.646013780590535
KNeighborsClassifier,concat_w,standardization,all_in_one,Standard,0.695762684407197,0.012518940435937617,0.6975748968615677,0.6884409356977774,0.674476747953431,0.7096491133334774,0.6783970883642568,0.7097328120612567,0.7021243277102187,0.6851739853554226,0.7074999460008208,0.7045569907337409
DecisionTreeClassifier,concat_w,standardization,all_in_one,Standard,0.7010108646348576,0.01194993949577016,0.7086636283128497,0.6824308270514288,0.6925394734000042,0.6955472276821393,0.685665377886256,0.7048188867529215,0.7202194526643194,0.7170983001058384,0.6968594077370025,0.7062660647558158
RandomForestClassifier,concat_w,standardization,all_in_one,Standard,0.8920567207378449,0.005176852927339063,0.8925362334492515,0.8950714949132773,0.8919800419033631,0.8816742985506619,0.8844471564032227,0.894399205132082,0.8903303669784219,0.893122124543707,0.8981440482104672,0.8988622372939932
MLPClassifier,concat_w,standardization,all_in_one,Standard,0.8512881504201136,0.013299039722947194,0.8570263731991274,0.868862993282502,0.8427651899691124,0.844044970516448,0.8538242218718276,0.8305559755491717,0.8604796207097651,0.8693327861416507,0.830388578093613,0.855600794867918
LinearSVC,concat_w,standardization,all_in_one,Standard,0.8209932609024342,0.017631335743130094,0.7934153400868306,0.8321813508434672,0.8171047800073439,0.8446011620623367,0.7889280082942738,0.841426010324643,0.8146154178456488,0.8333261334427716,0.8243190703501305,0.8200153357668962
GaussianNB,concat_w,standardization,all_in_one,Stratified,0.6802843596777329,0.008840746626637067,0.6966920102814438,0.6906765017171739,0.6746765449165172,0.6788722811413267,0.6699624165712682,0.6854979804306975,0.6653940860098926,0.6780352938635332,0.6795958701427738,0.6834406117027021
KNeighborsClassifier,concat_w,standardization,all_in_one,Stratified,0.6929941464889734,0.0061885998634744815,0.692771669870618,0.696130418817634,0.6939569518543318,0.6768149124133312,0.6980635894334406,0.6931793636736723,0.6884301358619349,0.7000912586128691,0.696532712702767,0.6939704516491348
DecisionTreeClassifier,concat_w,standardization,all_in_one,Stratified,0.7140003671944187,0.011933020087759049,0.6959090221828629,0.7231138086701081,0.7286541244573084,0.7031233125256496,0.7048188867529215,0.7232272069464544,0.734556234745232,0.7097490118150204,0.7104726008164676,0.7063794630321619
RandomForestClassifier,concat_w,standardization,all_in_one,Stratified,0.8944664341102015,0.004982785848745407,0.8920502408363393,0.8999071214117547,0.8979820506728297,0.8989540358986543,0.8864289262803206,0.8986084411516946,0.8856540380586214,0.8920124414108906,0.8947501997969631,0.8983168455839471
MLPClassifier,concat_w,standardization,all_in_one,Stratified,0.8529958744627081,0.011806387310199623,0.8591323411884138,0.8570695725424974,0.8615029051558416,0.8653638464695336,0.8492720910642159,0.8644350605870791,0.832942739270363,0.8637978702723719,0.8355562995442469,0.8408860185325184
LinearSVC,concat_w,standardization,all_in_one,Stratified,0.8257457286649243,0.00735204875320051,0.8172235782016114,0.830869170788604,0.822342700390954,0.8308583709527615,0.8190703501306781,0.8200531351923451,0.8235630818411559,0.8376838672052185,0.8371276756593301,0.8186653562865845
GaussianNB,concat_w,standardization,all_in_one,LODO,0.523748839017647,0.0,0.523748839017647,0.523748839017647,0.523748839017647,0.523748839017647,0.523748839017647,0.523748839017647,0.523748839017647,0.523748839017647,0.523748839017647,0.523748839017647
KNeighborsClassifier,concat_w,standardization,all_in_one,LODO,0.6338531654318854,0.0,0.6338531654318854,0.6338531654318854,0.6338531654318854,0.6338531654318854,0.6338531654318854,0.6338531654318854,0.6338531654318854,0.6338531654318854,0.6338531654318854,0.6338531654318854
DecisionTreeClassifier,concat_w,standardization,all_in_one,LODO,0.6973875197097004,0.009002169722653594,0.6891915242888308,0.7006123506922696,0.7079616389830875,0.7038685011987819,0.7075998444823638,0.7013359396937167,0.6786994837678468,0.6949586366287233,0.7015627362464091,0.6880845411149751
RandomForestClassifier,concat_w,standardization,all_in_one,LODO,0.7762841004816727,0.005075150713874832,0.7784278678964079,0.7756091107415167,0.7770400889906474,0.7767106939974513,0.7806499341210015,0.7704656889215283,0.7765432965418925,0.7872864332462147,0.7698257986478606,0.7702820917122061
MLPClassifier,concat_w,standardization,all_in_one,LODO,0.5517692831068969,0.01349292816541613,0.5389118085405101,0.5571743309501695,0.5401564896213578,0.5796892887228116,0.5416576668034645,0.5421895587187073,0.5715084130721213,0.5457832040952978,0.5436799360649718,0.5569421344795559
LinearSVC,concat_w,standardization,all_in_one,LODO,0.6205175281335723,0.0021804734838051184,0.6216871503553145,0.6222217422295181,0.6205045683305614,0.616551828412208,0.62062876644275,0.6198997775233817,0.6224701384538953,0.6229237315592803,0.6165194289046807,0.6217681491241334
GaussianNB,concat_w,standardization,all_in_one,LOEO,0.6023230446897206,0.0,0.6023230446897206,0.6023230446897206,0.6023230446897206,0.6023230446897206,0.6023230446897206,0.6023230446897206,0.6023230446897206,0.6023230446897206,0.6023230446897206,0.6023230446897206
KNeighborsClassifier,concat_w,standardization,all_in_one,LOEO,0.575809447696395,0.0,0.575809447696395,0.575809447696395,0.575809447696395,0.575809447696395,0.575809447696395,0.575809447696395,0.575809447696395,0.575809447696395,0.575809447696395,0.575809447696395
DecisionTreeClassifier,concat_w,standardization,all_in_one,LOEO,0.6417392055640754,0.023373400875648733,0.6800116638227098,0.6398038749811003,0.6484869429984664,0.6111735101626454,0.610201524936821,0.6691794284726872,0.6460677797697475,0.6093645376590275,0.6495723265006371,0.6535304663369117
RandomForestClassifier,concat_w,standardization,all_in_one,LOEO,0.8657642503833942,0.002935362315253585,0.8686226969350067,0.8655771432274229,0.8656743417500055,0.863028381968594,0.8720543447739594,0.8649696524612827,0.8625018899712724,0.8635116746225456,0.868547098084109,0.8631552800397434
MLPClassifier,concat_w,standardization,all_in_one,LOEO,0.8244319286346847,0.010105638504485832,0.8014801175022138,0.8334287318832754,0.8268516318551958,0.8228070933321813,0.8197075404453852,0.8260308443311661,0.8361340907618204,0.8134922349180292,0.8334260319243147,0.8309609693932651
LinearSVC,concat_w,standardization,all_in_one,LOEO,0.8140306067347776,0.01014290282079598,0.8103845821543512,0.8095907942199279,0.8131979393913212,0.8285067066980581,0.8298674860142126,0.7981051688014341,0.8177662699526966,0.8181604639609478,0.7983859645333391,0.8163406916214874
GaussianNB,codrug_w_o,original,all_in_one,Standard,0.6310651878091453,0.010364539017112234,0.6168110244724281,0.6437809145300991,0.6156608419552023,0.6225079378793443,0.634150160917554,0.6337775665809879,0.6502257165691082,0.6288258418472039,0.6341825604250816,0.6307293129144437
KNeighborsClassifier,codrug_w_o,original,all_in_one,Standard,0.5968926172322181,0.008889191468283522,0.5864499859602135,0.6084681512841005,0.6132065792599952,0.5876217681491241,0.6009757651683695,0.5846599131693199,0.5950682549625247,0.5936129770827484,0.6003682744022291,0.5984945028835562
DecisionTreeClassifier,codrug_w_o,original,all_in_one,Standard,0.6831025768408321,0.014189766222180374,0.6951854331814157,0.6918158843985571,0.6880845411149751,0.6992785709657213,0.6683424411948937,0.6682290429185477,0.691702486122211,0.6529418752834957,0.6832678143292221,0.6921776788992806
